# ImageMagick pixel enumeration: 16,16,65535,srgba
8,14: (65278,20046,41120,65535)  #FE4EA0FF  srgba(254,78,160,1)
9,14: (65278,22616,61166,65535)  #FE58EEFF  srgba(254,88,238,1)
10,14: (65278,23901,0,65535)  #FE5D00FF  srgba(254,93,0,1)
11,14: (65278,33410,0,65535)  #FE8200FF  srgba(254,130,0,1)
12,14: (65278,34438,61423,65535)  #FE86EFFF  srgba(254,134,239,1)
13,14: (65278,42148,0,65535)  #FEA400FF  srgba(254,164,0,1)
14,14: (65278,44204,61423,65535)  #FEACEFFF  srgba(254,172,239,1)
15,14: (65278,58082,26471,65535)  #FEE267FF  srgba(254,226,103,1)
0,15: (65278,58082,36494,65535)  #FEE28EFF  srgba(254,226,142,1)
1,15: (65278,63479,1028,65535)  #FEF704FF  srgba(254,247,4,1)
2,15: (65278,63736,61166,65535)  #FEF8EEFF  srgba(254,248,238,1)
3,15: (65278,63993,47545,65535)  #FEF9B9FF  srgba(254,249,185,1)
4,15: (65278,64250,35980,65535)  #FEFA8CFF  srgba(254,250,140,1)
5,15: (65278,64507,25957,65535)  #FEFB65FF  srgba(254,251,101,1)
6,15: (65535,1542,37265,65535)  #FF0691FF  srgba(255,6,145,1)
7,15: (65535,3084,28527,65535)  #FF0C6FFF  srgba(255,12,111,1)
8,15: (65535,3084,49858,65535)  #FF0CC2FF  srgba(255,12,194,1)
9,15: (65535,4112,21074,65535)  #FF1052FF  srgba(255,16,82,1)
10,15: (65535,18761,37265,65535)  #FF4991FF  srgba(255,73,145,1)
11,15: (65535,20560,20303,65535)  #FF504FFF  srgba(255,80,79,1)
12,15: (65535,20560,27756,65535)  #FF506CFF  srgba(255,80,108,1)
13,15: (65535,20817,51400,65535)  #FF51C8FF  srgba(255,81,200,1)
14,15: (65535,63736,62194,65535)  #FFF8F2FF  srgba(255,248,242,1)
15,15: (0,65535,0,0)  #00FF0000  srgba(0,255,0,0)
