# ImageMagick pixel enumeration: 16,16,65535,srgba
6,7: (28013,59110,62194,65535)  #6DE6F2FF  srgba(109,230,242,1)
7,7: (28527,53713,54484,65535)  #6FD1D4FF  srgba(111,209,212,1)
8,7: (29555,50115,62965,65535)  #73C3F5FF  srgba(115,195,245,1)
9,7: (30583,42405,62708,65535)  #77A5F4FF  srgba(119,165,244,1)
10,7: (30840,46260,62965,65535)  #78B4F5FF  srgba(120,180,245,1)
11,7: (31097,32125,50372,65535)  #797DC4FF  srgba(121,125,196,1)
12,7: (31868,25443,50115,65535)  #7C63C3FF  srgba(124,99,195,1)
13,7: (32382,32125,33924,65535)  #7E7D84FF  srgba(126,125,132,1)
14,7: (32639,44204,57568,65535)  #7FACE0FF  srgba(127,172,224,1)
15,7: (32896,38293,62451,65535)  #8095F3FF  srgba(128,149,243,1)
0,8: (33410,53970,57568,65535)  #82D2E0FF  srgba(130,210,224,1)
1,8: (34438,50372,62965,65535)  #86C4F5FF  srgba(134,196,245,1)
2,8: (34438,59367,57568,65535)  #86E7E0FF  srgba(134,231,224,1)
3,8: (34695,54741,62451,65535)  #87D5F3FF  srgba(135,213,243,1)
4,8: (34952,60138,62451,65535)  #88EAF3FF  srgba(136,234,243,1)
5,8: (35466,35980,50629,65535)  #8A8CC5FF  srgba(138,140,197,1)
6,8: (35466,46517,63222,65535)  #8AB5F6FF  srgba(138,181,246,1)
7,8: (35723,38293,57568,65535)  #8B95E0FF  srgba(139,149,224,1)
8,8: (35723,42919,62965,65535)  #8BA7F5FF  srgba(139,167,245,1)
9,8: (36237,29298,62965,65535)  #8D72F5FF  srgba(141,114,245,1)
10,8: (36237,36494,53970,65535)  #8D8ED2FF  srgba(141,142,210,1)
11,8: (36751,30583,57568,65535)  #8F77E0FF  srgba(143,119,224,1)
12,8: (37008,33924,63479,65535)  #9084F7FF  srgba(144,132,247,1)
13,8: (37265,29555,53970,65535)  #9173D2FF  srgba(145,115,210,1)
14,8: (38036,53713,54998,65535)  #94D1D6FF  srgba(148,209,214,1)
15,8: (38293,41891,51657,65535)  #95A3C9FF  srgba(149,163,201,1)
0,9: (38550,41891,54484,65535)  #96A3D4FF  srgba(150,163,212,1)
1,9: (39064,46774,54227,65535)  #98B6D3FF  srgba(152,182,211,1)
2,9: (39321,38293,62965,65535)  #9995F5FF  srgba(153,149,245,1)
3,9: (39835,43433,57568,65535)  #9BA9E0FF  srgba(155,169,224,1)
4,9: (39835,55255,57568,65535)  #9BD7E0FF  srgba(155,215,224,1)
5,9: (40092,40863,42405,65535)  #9C9FA5FF  srgba(156,159,165,1)
6,9: (40092,48830,57568,65535)  #9CBEE0FF  srgba(156,190,224,1)
7,9: (40092,50886,64764,65535)  #9CC6FCFF  srgba(156,198,252,1)
8,9: (40349,51143,61423,65535)  #9DC7EFFF  srgba(157,199,239,1)
9,9: (40349,56026,62194,65535)  #9DDAF2FF  srgba(157,218,242,1)
10,9: (40606,43176,62708,65535)  #9EA8F4FF  srgba(158,168,244,1)
11,9: (40606,46517,63222,65535)  #9EB5F6FF  srgba(158,181,246,1)
12,9: (40606,61423,62708,65535)  #9EEFF4FF  srgba(158,239,244,1)
13,9: (42662,59110,58339,65535)  #A6E6E3FF  srgba(166,230,227,1)
14,9: (44718,47031,62965,65535)  #AEB7F5FF  srgba(174,183,245,1)
15,9: (45489,59110,62194,65535)  #B1E6F2FF  srgba(177,230,242,1)
0,10: (45746,62708,62965,65535)  #B2F4F5FF  srgba(178,244,245,1)
1,10: (46003,50886,61423,65535)  #B3C6EFFF  srgba(179,198,239,1)
2,10: (46003,50886,64764,65535)  #B3C6FCFF  srgba(179,198,252,1)
3,10: (46003,55255,64507,65535)  #B3D7FBFF  srgba(179,215,251,1)
4,10: (46003,55769,60652,65535)  #B3D9ECFF  srgba(179,217,236,1)
